date,start_time,game_url,team1,spread1,odds_spread1,total1,odds_total1,moneyline1,team2,spread2,odds_spread2,total2,odds_total2,moneyline2
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/tb-buccaneers-%40-buf-bills/32225505?category=odds&subcategory=popular,CHI Bears,+3.5,−105,46.5,−105,+154,GB Packers,-3.5,−115,46.5,−115,−185
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/car-panthers-%40-atl-falcons/32225463?category=odds&subcategory=popular,PIT Steelers,+8.5,−110,46.5,−110,+300,BAL Ravens,-8.5,−110,46.5,−110,−380
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/hou-texans-%40-ten-titans/32225586?category=odds&subcategory=popular,IND Colts,+3,−110,46.5,−110,+130,JAX Jaguars,-3,−110,46.5,−110,−155
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/la-chargers-%40-jax-jaguars/32225669?category=odds&subcategory=popular,MIA Dolphins,-1.5,−110,43.5,−110,−120,NY Jets,+1.5,−110,43.5,−110,+100
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/cin-bengals-%40-pit-steelers/32225652?category=odds&subcategory=popular,NO Saints,+9.5,−112,45.5,−110,+320,TB Buccaneers,-9.5,−108,45.5,−110,−410
SUN DEC 7TH,11:00AM,https://sportsbook.draftkings.com/event/chi-bears-%40-min-vikings/32225783?category=odds&subcategory=popular,TEN Titans,+1.5,−110,41.5,−110,+100,CLE Browns,-1.5,−110,41.5,−110,−120
SUN DEC 7TH,2:05PM,https://sportsbook.draftkings.com/event/sea-seahawks-%40-la-rams/32225741?category=odds&subcategory=popular,DEN Broncos,-3.5,−110,43.5,−110,−175,LV Raiders,+3.5,−110,43.5,−110,+145
SUN DEC 7TH,2:25PM,https://sportsbook.draftkings.com/event/sf-49ers-%40-ari-cardinals/32225457?category=odds&subcategory=popular,LA Rams,-1.5,−105,47.5,−110,−118,ARI Cardinals,+1.5,−115,47.5,−110,−102
SUN DEC 7TH,2:25PM,https://sportsbook.draftkings.com/event/bal-ravens-%40-cle-browns/32225535?category=odds&subcategory=popular,CIN Bengals,+5.5,−110,49.5,−110,+180,BUF Bills,-5.5,−110,49.5,−110,−218
SUN DEC 7TH,6:20PM,https://sportsbook.draftkings.com/event/kc-chiefs-%40-den-broncos/32225568?category=odds&subcategory=popular,HOU Texans,+6.5,−110,45.5,−105,+210,KC Chiefs,-6.5,−110,45.5,−115,−258
