Season,Week,Player,Position,Team,Opponent,Pass_Comp,Pass_Att,Pass_Yards,Pass_TD,Pass_Int,Rush_Att,Rush_Yards,Rush_TD,Rec_Targets,Rec_Recep,Rec_Yards,Rec_TD,Snapcount
2024,1,Jameis Winston,QB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,James Proche II,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jerome Ford,RB,CLE,VS DAL,0,0,0,0,0,12,44,1,0,6,25,0,0
2024,1,Jerry Jeudy,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,3,25,1,0
2024,1,Jordan Akins,TE,CLE,VS DAL,0,0,0,0,0,0,0,0,0,3,27,0,0
2024,1,Kadarius Toney,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Kaden Davis,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Michael Woods II,WR,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Nick Chubb,RB,CLE,VS DAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Pierre Strong Jr,RB,CLE,VS DAL,0,0,0,0,0,2,10,0,0,2,20,0,0
2024,1,Brandin Cooks,WR,DAL,@ CLE,0,0,0,0,0,1,5,0,0,4,40,1,0
2024,1,Brevyn Spann-Ford,TE,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,CeeDee Lamb,WR,DAL,@ CLE,0,0,0,0,0,3,25,0,0,5,61,0,0
2024,1,Cooper Rush,QB,DAL,@ CLE,0,0,0,0,0,1,1,0,0,0,0,0,0
2024,1,Dak Prescott,QB,DAL,@ CLE,0,0,179,1,0,1,3,0,0,0,0,0,0
2024,1,Dalvin Cook,RB,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Deuce Vaughn,RB,DAL,@ CLE,0,0,0,0,0,1,4,0,0,0,0,0,0
2024,1,Ezekiel Elliott,RB,DAL,@ CLE,0,0,0,0,0,10,40,1,0,2,9,0,0
2024,1,Hunter Luepke,RB,DAL,@ CLE,0,0,0,0,0,0,0,0,0,2,18,0,0
2024,1,Jake Ferguson,TE,DAL,@ CLE,0,0,0,0,0,0,0,0,0,3,15,0,0
2024,1,Jalen Brooks,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,1,18,0,0
2024,1,Jalen Cropper,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jalen Tolbert,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,1,12,0,0
2024,1,Jonathan Mingo,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,KaVontae Turpin,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Luke Schoonmaker,TE,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Princeton Fant,TE,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Rico Dowdle,RB,DAL,@ CLE,0,0,0,0,0,8,26,0,0,1,6,0,0
2024,1,Ryan Flournoy,WR,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Trey Lance,QB,DAL,@ CLE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Adam Trautman,TE,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Audric Estime,RB,DEN,@ SEA,0,0,0,0,0,2,14,0,0,0,0,0,0
2024,1,Blake Watson,RB,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Bo Nix,QB,DEN,@ SEA,0,0,138,0,2,5,35,1,0,0,0,0,0
2024,1,Courtland Sutton,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,4,38,0,0
2024,1,Devaughn Vele,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,8,39,0,0
2024,1,Greg Dulcich,TE,DEN,@ SEA,0,0,0,0,0,0,0,0,0,2,12,0,0
2024,1,Jaleel McLaughlin,RB,DEN,@ SEA,0,0,0,0,0,10,27,0,0,5,1,0,0
2024,1,Jarrett Stidham,QB,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Javonte Williams,RB,DEN,@ SEA,0,0,0,0,0,8,23,0,0,1,0,0,0
2024,1,Josh Reynolds,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,5,45,0,0
2024,1,Lil'Jordan Humphrey,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Lucas Krull,TE,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Marvin Mims Jr,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Michael Burton,RB,DEN,@ SEA,0,0,0,0,0,0,0,0,0,1,3,0,0
2024,1,Nate Adkins,TE,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Troy Franklin,WR,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Tyler Badie,RB,DEN,@ SEA,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Allen Robinson II,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Amon-Ra St. Brown,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,3,13,0,0
2024,1,Brock Wright,TE,DET,VS LAR,0,0,0,0,0,0,0,0,0,1,2,0,0
2024,1,Craig Reynolds,RB,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,David Montgomery,RB,DET,VS LAR,0,0,0,0,0,17,91,1,0,1,2,0,0
2024,1,Hendon Hooker,QB,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Isaiah Williams,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jahmyr Gibbs,RB,DET,VS LAR,0,0,0,0,0,11,40,1,0,4,34,0,0
2024,1,James Mitchell,TE,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Jameson Williams,WR,DET,VS LAR,0,0,0,0,0,1,13,0,0,5,121,1,0
2024,1,Jared Goff,QB,DET,VS LAR,0,0,217,1,1,1,7,0,0,0,0,0,0
2024,1,Jermar Jefferson,RB,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Kalif Raymond,WR,DET,VS LAR,0,0,0,0,0,1,12,0,0,0,0,0,0
2024,1,Maurice Alexander,WR,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Parker Hesse,TE,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Sam LaPorta,TE,DET,VS LAR,0,0,0,0,0,0,0,0,0,4,45,0,0
2024,1,Shane Zylstra,TE,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,1,Sione Vaki,RB,DET,VS LAR,0,0,0,0,0,0,0,0,0,0,0,0,0
